seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,round,agent_id,is_poisoned,reputation_share,optimization_before,marginal_contribution,positive_contribution,leave_one_out_engine,leave_one_out_engine_losses,contribution_share,optimization_after
0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,0,15,True,3.697449648706734e-05,0.2,0.009614917635917663,0.009614917635917663,custom,"{""bfgs"": 0.06151980012655258, ""custom"": 0.025510168075561522}",0.38761185600540404,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,0,1,False,0.14984511474643689,0.2,0.0036472901701927185,0.0036472901701927185,custom,"{""bfgs"": 0.036352045834064484, ""custom"": 0.019542540609836578}",0.14951801737242423,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,0,2,False,0.4737265966771876,0.2,0.003725001215934755,0.003725001215934755,custom,"{""bfgs"": 0.07117873132228851, ""custom"": 0.019620251655578614}",0.15261849931288948,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,0,3,False,0.231964695539853,0.2,0.0038217641413211823,0.0038217641413211823,custom,"{""bfgs"": 0.05273331254720688, ""custom"": 0.01971701458096504}",0.15647910496814085,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,0,4,False,0.14442661854003544,0.2,0.0037539258599281304,0.0037539258599281304,custom,"{""bfgs"": 0.05388355106115341, ""custom"": 0.01964917629957199}",0.1537725223411414,0.2
0,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,0,15,True,3.697449648706734e-05,0.2,0.009614917635917663,0.009614917635917663,custom,"{""bfgs"": 0.06151980012655258, ""custom"": 0.025510168075561522}",0.38761185600540404,0.2562835568016212
0,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,0,1,False,0.14984511474643689,0.2,0.0036472901701927185,0.0036472901701927185,custom,"{""bfgs"": 0.036352045834064484, ""custom"": 0.019542540609836578}",0.14951801737242423,0.18485540521172725
0,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,0,2,False,0.4737265966771876,0.2,0.003725001215934755,0.003725001215934755,custom,"{""bfgs"": 0.07117873132228851, ""custom"": 0.019620251655578614}",0.15261849931288948,0.18578554979386683
0,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,0,3,False,0.231964695539853,0.2,0.0038217641413211823,0.0038217641413211823,custom,"{""bfgs"": 0.05273331254720688, ""custom"": 0.01971701458096504}",0.15647910496814085,0.18694373149044224
0,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,0,4,False,0.14442661854003544,0.2,0.0037539258599281304,0.0037539258599281304,custom,"{""bfgs"": 0.05388355106115341, ""custom"": 0.01964917629957199}",0.1537725223411414,0.1861317567023424
