round,agent_id,alpha_before,contribution_share,alpha_after,delta_alpha_l1
0,11,0.268562117733154,0.29350100043630034,0.2810315590847272,0.1296879501797738
0,3,0.22023899759871618,0.21486145326581155,0.21755022543226388,0.1296879501797738
0,2,0.17822728069698074,0.09565214817346983,0.1369397144352253,0.1296879501797738
0,5,0.10485910784090262,0.13670969000051322,0.12078439892070791,0.1296879501797738
0,1,0.12667541661526577,0.1995739019322827,0.16312465927377423,0.1296879501797738
0,9,0.1014370795149806,0.05970180619162239,0.08056944285330149,0.1296879501797738
1,11,0.2810315590847272,0.35253746896313976,0.3167845140239335,0.21496936818964907
1,3,0.21755022543226388,0.058894533585264634,0.13822237950876426,0.21496936818964907
1,2,0.1369397144352253,0.11555410486567785,0.12624690965045157,0.21496936818964907
1,5,0.12078439892070791,0.1639473737034338,0.14236588631207087,0.21496936818964907
1,1,0.16312465927377423,0.26342514280228485,0.21327490103802954,0.21496936818964907
1,9,0.08056944285330149,0.0456413760801991,0.06310540946675029,0.21496936818964907
2,11,0.3167845140239335,0.18814375075015785,0.25246413238704574,0.1949727384400222
2,3,0.13822237950876426,0.1439801718677444,0.14110127568825434,0.1949727384400222
2,2,0.12624690965045157,0.12145176213019662,0.12384933589032411,0.1949727384400222
2,5,0.14236588631207087,0.08082905866607921,0.11159747248907505,0.1949727384400222
2,1,0.21327490103802954,0.3329192177882845,0.27309705941315704,0.1949727384400222
2,9,0.06310540946675029,0.13267603879753745,0.09789072413214388,0.1949727384400222
3,11,0.25246413238704574,0.23449442401127257,,
3,3,0.14110127568825434,0.12116564658981357,,
3,2,0.12384933589032411,0.08715312379011966,,
3,5,0.11159747248907505,0.2206405612033145,,
3,1,0.27309705941315704,0.2863438679404488,,
3,9,0.09789072413214388,0.05020237646503094,,
