agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,evaluator,update_rate
9,0.4189443364079017,0.2295388686782894,0.07915772370824291,0.21507236878810643,1.3,2.611941449607449,0,2,0.3,0.0,uniform,uniform,0.1
7,0.31581136992161585,0.5355419976182146,0.828509166523464,0.6234300478827247,1.3800000000000001,5.18292329208462,0,2,0.3,0.0,uniform,uniform,0.1
6,0.26524429367048247,0.23491913370349599,0.09233310976829313,0.16149758332916886,1.22,2.20513525830793,0,2,0.3,0.0,uniform,uniform,0.1
7,1.0,0.8479856647751983,1.0,1.0,1.3800000000000001,10.0,0,2,0.3,0.0,uniform,uniform,0.3
7,1.0,0.95228167306518,1.0,1.0,1.3800000000000001,10.0,0,2,0.3,0.0,uniform,uniform,0.5
7,1.0,0.9866666666666667,1.0,1.0,1.3800000000000001,10.0,0,2,0.3,0.0,uniform,uniform,1.0
12,0.5072287380619492,0.23728995365877392,0.10293431684215057,0.26465208533007,1.3800000000000001,3.057894220992644,1,2,0.3,0.0,uniform,uniform,0.1
3,0.3439418415041946,0.23224988814839345,0.09084367467006581,0.19208294140371734,1.1400000000000001,2.3578058484995683,1,2,0.3,0.0,uniform,uniform,0.1
8,0.14882942043385614,0.5304601581928328,0.8062220084877837,0.5432649732662127,1.1400000000000001,4.584299930507789,1,2,0.3,0.0,uniform,uniform,0.1
12,0.5072287380619492,0.13229674549312792,0.08957825389333196,0.25663844756077886,1.3800000000000001,3.007087757535338,1,2,0.3,0.0,uniform,uniform,0.3
3,0.3439418415041946,0.12174695459518876,0.07678672601261317,0.18364877220924575,1.1400000000000001,2.304333215806618,1,2,0.3,0.0,uniform,uniform,0.3
8,0.14882942043385614,0.7459562999116833,0.8336350200940549,0.5597127802299754,1.1400000000000001,4.688579026658044,1,2,0.3,0.0,uniform,uniform,0.3
12,0.5072287380619492,0.09752381032541521,0.08957820714585686,0.2566384195122938,1.3800000000000001,3.007087579707943,1,2,0.3,0.0,uniform,uniform,0.5
3,0.3439418415041946,0.08514924116761745,0.07678667681197224,0.1836487426888612,1.1400000000000001,2.30433302864738,1,2,0.3,0.0,uniform,uniform,0.5
8,0.14882942043385614,0.8173269485069674,0.8336351160421709,0.559712837798845,1.1400000000000001,4.6885793916446765,1,2,0.3,0.0,uniform,uniform,0.5
12,0.5072287380619492,0.0895782354776621,0.0895782354776621,0.25663843651137697,1.3800000000000001,3.00708768748213,1,2,0.3,0.0,uniform,uniform,1.0
3,0.3439418415041946,0.07678670663054477,0.07678670663054477,0.1836487605800047,1.1400000000000001,2.3043331420772297,1,2,0.3,0.0,uniform,uniform,1.0
8,0.14882942043385614,0.8336350578917932,0.8336350578917932,0.5597128029086184,1.1400000000000001,4.68857917044064,1,2,0.3,0.0,uniform,uniform,1.0
8,0.38587036343018155,0.3793443341278618,0.4459149242804286,0.4218970999403298,1.1400000000000001,3.8485793816169176,2,2,0.3,0.0,uniform,uniform,0.1
10,0.3224395083247625,0.3964294215410865,0.4877194121036922,0.4216074505921203,1.06,3.7667198328014124,2,2,0.3,0.0,uniform,uniform,0.1
7,0.2916901282450559,0.22422624433105162,0.06636566361587908,0.1564954494675498,1.3800000000000001,2.38470078558167,2,2,0.3,0.0,uniform,uniform,0.1
8,0.38587036343018155,0.4278822966829513,0.44818187497357553,0.42325727035621796,1.1400000000000001,3.8573116756869195,2,2,0.3,0.0,uniform,uniform,0.3
10,0.3224395083247625,0.46299079847085645,0.49082814085176224,0.4234726878409623,1.06,3.778694655938978,2,2,0.3,0.0,uniform,uniform,0.3
7,0.2916901282450559,0.10912690484619221,0.060989984174662226,0.15327004180281972,1.3800000000000001,2.3639936683741025,2,2,0.3,0.0,uniform,uniform,0.3
8,0.38587036343018155,0.44626955995913764,0.46966131226737934,0.4361449327325002,1.1400000000000001,3.9400504681426516,2,2,0.3,0.0,uniform,uniform,0.5
10,0.3224395083247625,0.4882057332807812,0.5202834547275673,0.44114587616644535,1.06,3.8921565249885792,2,2,0.3,0.0,uniform,uniform,0.5
7,0.2916901282450559,0.06552470676008124,0.010055233005053394,0.12270919110105441,1.3800000000000001,2.167793006868769,2,2,0.3,0.0,uniform,uniform,0.5
8,0.5447762043385471,0.4671709128102242,0.47030628806398406,0.5000942545738093,1.1400000000000001,5.040735185675713,2,2,0.3,0.0,uniform,uniform,1.0
10,0.45522379566145277,0.5261624205231091,0.5296937119360159,0.4999057454261906,1.06,4.959264814324287,2,2,0.3,0.0,uniform,uniform,1.0
4,0.44888819639277083,0.3847971240652669,0.46053094985556753,0.4558738484704489,1.3,4.190240199302646,3,2,0.3,0.0,uniform,uniform,0.1
1,0.35541821000891527,0.20730351829955992,0.02183874937360779,0.1552705336277308,1.22,2.204415183199813,3,2,0.3,0.0,uniform,uniform,0.1
13,0.19569359359831393,0.4078993576351733,0.5176303007708246,0.3888556179018203,1.1400000000000001,3.6053446174975408,3,2,0.3,0.0,uniform,uniform,0.1
4,0.44888819639277083,0.43867598037674094,0.46041315030896096,0.4558031687424849,1.3,4.189792089827354,3,2,0.3,0.0,uniform,uniform,0.3
1,0.35541821000891527,0.07535944269626617,0.02212722899896659,0.15544362140294607,1.22,2.205512559694678,3,2,0.3,0.0,uniform,uniform,0.3
13,0.19569359359831393,0.4859645769269929,0.5174596206920725,0.38875320985456907,1.1400000000000001,3.604695350477968,3,2,0.3,0.0,uniform,uniform,0.3
4,0.44888819639277083,0.4590173092139763,0.4484344554895339,0.4486159518508287,1.3,4.144225134734254,3,2,0.3,0.0,uniform,uniform,0.5
1,0.35541821000891527,0.02554550799698652,0.05146188684222672,0.17304441610890214,1.22,2.3171015981304395,3,2,0.3,0.0,uniform,uniform,0.5
13,0.19569359359831393,0.5154371827890372,0.5001036576682394,0.3783396320402692,1.1400000000000001,3.538673267135307,3,2,0.3,0.0,uniform,uniform,0.5
4,0.44888819639277083,0.4491397888958673,0.4604806826923454,0.4558436881725156,1.3,4.190048983013749,3,2,0.3,0.0,uniform,uniform,1.0
1,0.35541821000891527,0.049734593973336266,0.021961848764326306,0.1553443932621619,1.22,2.2048834532821067,3,2,0.3,0.0,uniform,uniform,1.0
13,0.19569359359831393,0.5011256171307965,0.5175574685433283,0.38881191856532255,1.1400000000000001,3.605067563704145,3,2,0.3,0.0,uniform,uniform,1.0
10,0.6745708528881622,0.43199669448984324,0.5780928952637532,0.6166840783135168,1.06,5.870135810845431,4,2,0.3,0.0,uniform,uniform,0.1
13,0.3254291471118378,0.3684432388434902,0.4219071047362468,0.3833159216864832,1.1400000000000001,4.129864189154569,4,2,0.3,0.0,uniform,uniform,0.1
10,0.6745708528881622,0.5418256382887954,0.5999564867957259,0.6298022332327005,1.06,5.972457419215063,4,2,0.3,0.0,uniform,uniform,0.3
13,0.3254291471118378,0.3961285259236407,0.4000435132042741,0.37019776676729954,1.1400000000000001,4.027542580784937,4,2,0.3,0.0,uniform,uniform,0.3
10,0.6745708528881622,0.5929637024331984,0.6130688855943922,0.6376696725119002,1.06,6.033823445592821,4,2,0.3,0.0,uniform,uniform,0.5
13,0.3254291471118378,0.3900008418008858,0.3869311144056078,0.3623303274880998,1.1400000000000001,3.9661765544071783,4,2,0.3,0.0,uniform,uniform,0.5
10,0.6745708528881622,0.608967085255176,0.6130541126729959,0.6376608087590625,1.06,6.033754308320688,4,2,0.3,0.0,uniform,uniform,1.0
13,0.3254291471118378,0.3843662480781574,0.3869458873270041,0.36233919124093755,1.1400000000000001,3.966245691679313,4,2,0.3,0.0,uniform,uniform,1.0
